file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,88,css,e295b9df,Khaleel Karim,2025-04-11,18:25:32,-07:00,2025-04-11T18:25:32-07:00,0,26
style.css,89,css,e295b9df,Khaleel Karim,2025-04-11,18:25:32,-07:00,2025-04-11T18:25:32-07:00,0,40
style.css,90,css,90cef5d3,Khaleel Karim,2025-04-18,17:38:58,-07:00,2025-04-18T17:38:58-07:00,0,70
style.css,91,css,e295b9df,Khaleel Karim,2025-04-11,18:25:32,-07:00,2025-04-11T18:25:32-07:00,0,0
style.css,92,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,0
style.css,93,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,0
style.css,94,css,30380be4,Khaleel Karim,2025-04-18,18:05:35,-07:00,2025-04-18T18:05:35-07:00,0,19
style.css,95,css,30380be4,Khaleel Karim,2025-04-18,18:05:35,-07:00,2025-04-18T18:05:35-07:00,0,18
style.css,96,css,30380be4,Khaleel Karim,2025-04-18,18:05:35,-07:00,2025-04-18T18:05:35-07:00,0,9
style.css,97,css,30380be4,Khaleel Karim,2025-04-18,18:05:35,-07:00,2025-04-18T18:05:35-07:00,0,11
style.css,98,css,30380be4,Khaleel Karim,2025-04-18,18:05:35,-07:00,2025-04-18T18:05:35-07:00,0,13
style.css,99,css,30380be4,Khaleel Karim,2025-04-18,18:05:35,-07:00,2025-04-18T18:05:35-07:00,0,14
style.css,100,css,30380be4,Khaleel Karim,2025-04-18,18:05:35,-07:00,2025-04-18T18:05:35-07:00,0,0
style.css,101,css,30380be4,Khaleel Karim,2025-04-18,18:05:35,-07:00,2025-04-18T18:05:35-07:00,0,0
style.css,102,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,5
style.css,103,css,17290bf4,Khaleel Karim,2025-04-11,19:15:07,-07:00,2025-04-11T19:15:07-07:00,0,13
